id,commercial_name,county_code,full_address,UTMx,UTMy,latitude,longitude
cens-0812060009-108,FORN QUERALT,40.0,"C ANTONI GENESCÀ 4, BX., 08230 MATADEPERA",418994.36,4605945.43,41.6010559,2.0279328
cens-0824760009-280,FORN DE PA I PASTISSERIA J. NOVELLAS,24.0,"C MAJOR 24, 08505 Santa Eulàlia de Riuprimer",432738.0,4640203.0,41.9108653,2.1889637
cens-0819760009-32,SALA VIVES,21.0,"PG MARE DE DEU DE MONTSERRAT 2, LOCAL 2 i 3, 08392 Sant Andreu de Llavaneres",456958.18,4602618.3,41.5740375,2.4837116
cens-0819760009-200,PASTISSERIA SALA,21.0,"C MUNT 36, 08392 Sant Andreu de Llavaneres",456793.32,4602552.65,41.5734373,2.4817389
cens-0804100000-1488,CAFETERIA PASTELERIA LIXUS,41.0,"C DIAGONAL 15, BXS, 08420 Canovelles",440233.11,4607483.55,41.6167817,2.2826216
cens-0804100000-686,PASTISSERIA SANT JORDI,41.0,"C MOLI DE LA SAL 48, BXS, 08420 CANOVELLES",440193.0,4607534.0,41.6172331,2.2821351
cens-0822050006-231,PASTISSERIA CROSSANDRA,24.0,"C NÚRIA (DE) 12, BAIXOS, 08504 Sant Julià de Vilatorta",443984.55,4641459.49,41.9230593,2.3244437
cens-0822050006-113,FORN DE PÀ SANT JULIÀ,24.0,"AV NOSTRA SENYORA DE MONTSERRAT 31, 08504 Sant Julià de Vilatorta",443903.28,4641422.11,41.9227169,2.3234672
cens-0818030008-113,EL RACO DEL PA,40.0,"C/ TAMARIT 118, 08291 Ripollet",430453.33,4594069.48,41.4951749,2.1667997
cens-0824600000-92,FORN DE PA PASTISSERIA COROMINAS,24.0,"C GARBÍ 13, 08507 Santa Eugènia de Berga",440379.0,4639571.0,41.9057871,2.2811543
cens-0819760009-670,MACXIPA,21.0,"C CLOSENS 24, 08392 Sant Andreu de Llavaneres",456925.23,4602623.99,41.5740869,2.4833159
cens-0828960009-26,FORNERET,11.0,"C TORRENT ROQUETES 5, 08629 TORRELLES DE LLOBREGAT",414788.91,4578837.87,41.3564825,1.9813055
cens-0819760009-525,FORN SANT PERE CUCO'S DELICATESSEN,21.0,"TRSSI SANT PERE 27, 08392 Sant Andreu de Llavaneres",458096.39,4600763.67,41.5573931,2.4974934
cens-0800570005-517,FORN DE PA I PASTISSERIA MONCAU,41.0,"C TORREGASSA 29, 08480 Ametlla del Vallès",438560.74,4613396.17,41.6699073,2.2619423
cens-0818030008-157,PASTISSERIA MILSA,40.0,"C/ FONTANELLA 20, LOCAL 3, 08291 Ripollet",429998.87,4594497.86,41.4989936,2.1613059
cens-0818030008-294,PANADERIA PASTELERIA TIBIDABO,40.0,"C/ BONAVISTA 11, 08291 Ripollet",429090.29,4593873.25,41.4932881,2.1504947
cens-0811200000-1313,FORN DE PA RAWAN,24.0,"C.  BELLFORT 19, 08560 MANLLEU",440721.51,4650643.53,42.0055339,2.2841685
cens-0811200000-1298,FORN CASAS,24.0,"C.  VILAMIROSA 60, BXS, 08560 MANLLEU",440329.17,4650368.17,42.0030244,2.279459
cens-0805380001-92,FORN DE PA SINED,7.0,"C JOAQUIM BORRÀS  74, 2, 08296 CASTELLBELL I EL VILAR",405021.0,4609264.0,41.6294018,1.8597558
cens-0811730008-22,FORN DE PA,24.0,"PTGE MN.VIADIU 2, 08508 MASIES DE VOLTREGÀ",436363.27,4654601.03,42.0408347,2.2311146
cens-0800600000-281,CA LA MANELA,21.0,"RIAL SA CLAVELLA 56, 08350 Arenys de Mar",462430.28,4603507.05,41.5823186,2.5492919
cens-0827850006-678,CAN MONTRODON,24.0,"PG DOMENEC SERT 9, baixos, 08552 Taradell",440794.18,4636187.1,41.875342,2.2864989
cens-0829170005-272,EL FORN,40.0,"C PAU CASALS 6, 08233 VACARISSES",409956.0,4606928.0,41.6089366,1.9193425
cens-0811410007-1621,CROISSANTERIA EL PAS,11.0,"C JACINT VERDAGUER 4, local 22, 08760 MARTORELL",409453.0,4592581.0,41.4796721,1.9154682
cens-0811410007-238,FORN GARRIGA,11.0,"PL JOAN XXIII 6, locals 1-2 baixos, 08760 MARTORELL",409895.0,4592245.0,41.4766959,1.9208116
cens-0811410007-1655,CAL XIC,11.0,"PL VILA 28, 08760 MARTORELL",410777.0,4592170.0,41.4761191,1.9313847
cens-0811410007-1177,FORN GARRIGA,11.0,"C JOSEP ANSELM CLAVÉ 48, 08760 MARTORELL",410988.0,4592202.0,41.4764307,1.9339066
